asset_id	brief	date	product	product_id	variant	orientation	duration_s	size_mb	repo_path
NW-CREATIVE-VID-20260907-scandinavian-rosewood-round-pendant-light-spec-card-clean-v1	R3-rosewood-spec	20260907	scandinavian-rosewood-round-pendant-light	gid://shopify/Product/8060245311623	clean	9:16	15.1	4.2	nixwoods-reel/rosewood-reels/out/system/NW-CREATIVE-VID-20260907-scandinavian-rosewood-round-pendant-light-spec-card-clean-v1.mp4
NW-CREATIVE-VID-20260907-scandinavian-rosewood-round-pendant-light-evening-loop-music-v1	R4-rosewood-loop	20260907	scandinavian-rosewood-round-pendant-light	gid://shopify/Product/8060245311623	music	9:16	19.0	11.8	nixwoods-reel/rosewood-reels/out/system/NW-CREATIVE-VID-20260907-scandinavian-rosewood-round-pendant-light-evening-loop-music-v1.mp4
NW-CREATIVE-VID-20260907-scandinavian-rosewood-round-pendant-light-evening-loop-clean-v1	R4-rosewood-loop	20260907	scandinavian-rosewood-round-pendant-light	gid://shopify/Product/8060245311623	clean	9:16	19.0	11.5	nixwoods-reel/rosewood-reels/out/system/NW-CREATIVE-VID-20260907-scandinavian-rosewood-round-pendant-light-evening-loop-clean-v1.mp4
NW-CREATIVE-VID-20260907-scandinavian-rosewood-round-pendant-light-price-reveal-music-v1	R5-rosewood-price	20260907	scandinavian-rosewood-round-pendant-light	gid://shopify/Product/8060245311623	music	9:16	15.2	5.4	nixwoods-reel/rosewood-reels/out/system/NW-CREATIVE-VID-20260907-scandinavian-rosewood-round-pendant-light-price-reveal-music-v1.mp4
NW-CREATIVE-VID-20260907-scandinavian-rosewood-round-pendant-light-price-reveal-clean-v1	R5-rosewood-price	20260907	scandinavian-rosewood-round-pendant-light	gid://shopify/Product/8060245311623	clean	9:16	15.2	5.3	nixwoods-reel/rosewood-reels/out/system/NW-CREATIVE-VID-20260907-scandinavian-rosewood-round-pendant-light-price-reveal-clean-v1.mp4
NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-kinetic-two-lines-music-v1	T1-teak-kinetic	20260907	double-arm-teak-pendant-light-sculptural-led	gid://shopify/Product/8216098832519	music	9:16	14.1	2.9	nixwoods-reel/teak-reels/out/system/NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-kinetic-two-lines-music-v1.mp4
NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-kinetic-two-lines-clean-v1	T1-teak-kinetic	20260907	double-arm-teak-pendant-light-sculptural-led	gid://shopify/Product/8216098832519	clean	9:16	14.1	2.8	nixwoods-reel/teak-reels/out/system/NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-kinetic-two-lines-clean-v1.mp4
NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-transformation-music-v1	T2-teak-transformation	20260907	double-arm-teak-pendant-light-sculptural-led	gid://shopify/Product/8216098832519	music	9:16	18.2	11.0	nixwoods-reel/teak-reels/out/system/NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-transformation-music-v1.mp4
NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-transformation-clean-v1	T2-teak-transformation	20260907	double-arm-teak-pendant-light-sculptural-led	gid://shopify/Product/8216098832519	clean	9:16	18.2	10.8	nixwoods-reel/teak-reels/out/system/NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-transformation-clean-v1.mp4
NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-three-rooms-music-v1	T3-teak-triptych	20260907	double-arm-teak-pendant-light-sculptural-led	gid://shopify/Product/8216098832519	music	9:16	11.6	3.6	nixwoods-reel/teak-reels/out/system/NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-three-rooms-music-v1.mp4
NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-three-rooms-clean-v1	T3-teak-triptych	20260907	double-arm-teak-pendant-light-sculptural-led	gid://shopify/Product/8216098832519	clean	9:16	11.6	3.5	nixwoods-reel/teak-reels/out/system/NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-three-rooms-clean-v1.mp4
NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-spec-card-music-v1	T4-teak-spec	20260907	double-arm-teak-pendant-light-sculptural-led	gid://shopify/Product/8216098832519	music	9:16	15.1	5.3	nixwoods-reel/teak-reels/out/system/NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-spec-card-music-v1.mp4
NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-spec-card-clean-v1	T4-teak-spec	20260907	double-arm-teak-pendant-light-sculptural-led	gid://shopify/Product/8216098832519	clean	9:16	15.1	5.3	nixwoods-reel/teak-reels/out/system/NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-spec-card-clean-v1.mp4
NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-price-reveal-music-v1	T5-teak-price	20260907	double-arm-teak-pendant-light-sculptural-led	gid://shopify/Product/8216098832519	music	9:16	15.2	4.8	nixwoods-reel/teak-reels/out/system/NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-price-reveal-music-v1.mp4
NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-price-reveal-clean-v1	T5-teak-price	20260907	double-arm-teak-pendant-light-sculptural-led	gid://shopify/Product/8216098832519	clean	9:16	15.2	4.7	nixwoods-reel/teak-reels/out/system/NW-CREATIVE-VID-20260907-double-arm-teak-pendant-light-sculptural-led-price-reveal-clean-v1.mp4
NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-transformation-11pm-music-v1	K1-rubik-11pm	20260907	rubiks-cube-table-lamp-sheesham-wood	gid://shopify/Product/8517218893959	music	9:16	18.2	8.1	nixwoods-reel/rubik-reels/out/system/NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-transformation-11pm-music-v1.mp4
NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-transformation-11pm-clean-v1	K1-rubik-11pm	20260907	rubiks-cube-table-lamp-sheesham-wood	gid://shopify/Product/8517218893959	clean	9:16	18.2	7.9	nixwoods-reel/rubik-reels/out/system/NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-transformation-11pm-clean-v1.mp4
NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-mood-loop-music-v1	K2-rubik-mood	20260907	rubiks-cube-table-lamp-sheesham-wood	gid://shopify/Product/8517218893959	music	9:16	18.8	14.4	nixwoods-reel/rubik-reels/out/system/NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-mood-loop-music-v1.mp4
NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-mood-loop-clean-v1	K2-rubik-mood	20260907	rubiks-cube-table-lamp-sheesham-wood	gid://shopify/Product/8517218893959	clean	9:16	18.8	14.1	nixwoods-reel/rubik-reels/out/system/NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-mood-loop-clean-v1.mp4
NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-three-moods-music-v1	K3-rubik-listicle	20260907	rubiks-cube-table-lamp-sheesham-wood	gid://shopify/Product/8517218893959	music	9:16	12.4	5.9	nixwoods-reel/rubik-reels/out/system/NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-three-moods-music-v1.mp4
NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-three-moods-clean-v1	K3-rubik-listicle	20260907	rubiks-cube-table-lamp-sheesham-wood	gid://shopify/Product/8517218893959	clean	9:16	12.4	5.7	nixwoods-reel/rubik-reels/out/system/NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-three-moods-clean-v1.mp4
NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-kinetic-no-switch-music-v1	K4-rubik-kinetic	20260907	rubiks-cube-table-lamp-sheesham-wood	gid://shopify/Product/8517218893959	music	9:16	14.1	9.6	nixwoods-reel/rubik-reels/out/system/NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-kinetic-no-switch-music-v1.mp4
NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-kinetic-no-switch-clean-v1	K4-rubik-kinetic	20260907	rubiks-cube-table-lamp-sheesham-wood	gid://shopify/Product/8517218893959	clean	9:16	14.1	9.5	nixwoods-reel/rubik-reels/out/system/NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-kinetic-no-switch-clean-v1.mp4
NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-price-reveal-music-v1	K5-rubik-price	20260907	rubiks-cube-table-lamp-sheesham-wood	gid://shopify/Product/8517218893959	music	9:16	15.2	9.1	nixwoods-reel/rubik-reels/out/system/NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-price-reveal-music-v1.mp4
NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-price-reveal-clean-v1	K5-rubik-price	20260907	rubiks-cube-table-lamp-sheesham-wood	gid://shopify/Product/8517218893959	clean	9:16	15.2	9.0	nixwoods-reel/rubik-reels/out/system/NW-CREATIVE-VID-20260907-rubiks-cube-table-lamp-sheesham-wood-price-reveal-clean-v1.mp4
NW-CREATIVE-VID-20260908-brand-corners-music-v1	B1-brand-corners	20260908	brand		music	9:16	18.5	15.4	nixwoods-reel/brand-reels/out/system/NW-CREATIVE-VID-20260908-brand-corners-music-v1.mp4
NW-CREATIVE-VID-20260908-brand-corners-clean-v1	B1-brand-corners	20260908	brand		clean	9:16	18.5	14.9	nixwoods-reel/brand-reels/out/system/NW-CREATIVE-VID-20260908-brand-corners-clean-v1.mp4
